"ID","SO2_MAS+0","SO2_MAS+1","SO2_MAS+2","SO2_MAS+3","SO2_MAS+4","SO2_MAS+5","SO2_MAS+6","SO2_MAS+7","SO2_MAS+8","SO2_MAS+9","SO2_MAS+10","SO2_MAS+11"
0,1,2,2,2,3,3,4,3,2,2,1,2
1,2,2,2,3,3,4,3,2,2,1,2,2
2,2,2,3,3,4,3,2,2,1,2,2,1
3,2,3,3,4,3,2,2,1,2,2,1,1
4,3,3,4,3,2,2,1,2,2,1,1,1
5,3,4,3,2,2,1,2,2,1,1,1,1
6,4,3,2,2,1,2,2,1,1,1,1,1
7,3,2,2,1,2,2,1,1,1,1,1,1
8,2,2,1,2,2,1,1,1,1,1,1,1
9,2,1,2,2,1,1,1,1,1,1,1,1
10,1,2,2,1,1,1,1,1,1,1,1,2
11,2,2,1,1,1,1,1,1,1,1,2,1
12,2,1,1,1,1,1,1,1,1,2,1,1
13,1,1,1,1,1,1,1,1,2,1,1,1
14,1,1,1,1,1,1,1,2,1,1,1,1
15,1,1,1,1,1,1,2,1,1,1,1,1
16,1,1,1,1,1,2,1,1,1,1,1,1
17,1,1,1,1,2,1,1,1,1,1,1,1
18,1,1,1,2,1,1,1,1,1,1,1,1
19,1,1,2,1,1,1,1,1,1,1,1,1
20,1,2,1,1,1,1,1,1,1,1,1,1
21,2,1,1,1,1,1,1,1,1,1,1,1
22,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,1,1,1,1,1,1,1,1,1,1
25,1,1,1,1,1,1,1,1,1,1,1,1
26,1,1,1,1,1,1,1,1,1,1,1,1
27,1,1,1,1,1,1,1,1,1,1,1,0
28,1,1,1,1,1,1,1,1,1,1,0,1
29,1,1,1,1,1,1,1,1,1,0,1,1
30,1,1,1,1,1,1,1,1,0,1,1,1
31,1,1,1,1,1,1,1,0,1,1,1,1
32,1,1,1,1,1,1,0,1,1,1,1,1
33,1,1,1,1,1,0,1,1,1,1,1,1
34,1,1,1,1,0,1,1,1,1,1,1,1
35,1,1,1,0,1,1,1,1,1,1,1,1
36,1,1,0,1,1,1,1,1,1,1,1,1
37,1,0,1,1,1,1,1,1,1,1,1,0
38,0,1,1,1,1,1,1,1,1,1,0,1
39,1,1,1,1,1,1,1,1,1,0,1,1
40,1,1,1,1,1,1,1,1,0,1,1,1
41,1,1,1,1,1,1,1,0,1,1,1,1
42,1,1,1,1,1,1,0,1,1,1,1,1
43,1,1,1,1,1,0,1,1,1,1,1,1
44,1,1,1,1,0,1,1,1,1,1,1,1
45,1,1,1,0,1,1,1,1,1,1,1,1
46,1,1,0,1,1,1,1,1,1,1,1,1
47,1,0,1,1,1,1,1,1,1,1,1,1
48,0,1,1,1,1,1,1,1,1,1,1,1
49,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,1,1,1,1,1,1,1,1,1,0
54,1,1,1,1,1,1,1,1,1,1,0,1
55,1,1,1,1,1,1,1,1,1,0,1,1
56,1,1,1,1,1,1,1,1,0,1,1,1
57,1,1,1,1,1,1,1,0,1,1,1,1
58,1,1,1,1,1,1,0,1,1,1,1,0
59,1,1,1,1,1,0,1,1,1,1,0,1
60,1,1,1,1,0,1,1,1,1,0,1,1
61,1,1,1,0,1,1,1,1,0,1,1,1
62,1,1,0,1,1,1,1,0,1,1,1,1
63,1,0,1,1,1,1,0,1,1,1,1,1
64,0,1,1,1,1,0,1,1,1,1,1,1
65,1,1,1,1,0,1,1,1,1,1,1,1
66,1,1,1,0,1,1,1,1,1,1,1,1
67,1,1,0,1,1,1,1,1,1,1,1,1
68,1,0,1,1,1,1,1,1,1,1,1,1
69,0,1,1,1,1,1,1,1,1,1,1,1
70,1,1,1,1,1,1,1,1,1,1,1,2
71,1,1,1,1,1,1,1,1,1,1,2,2
72,1,1,1,1,1,1,1,1,1,2,2,2
73,1,1,1,1,1,1,1,1,2,2,2,1
74,1,1,1,1,1,1,1,2,2,2,1,1
75,1,1,1,1,1,1,2,2,2,1,1,1
76,1,1,1,1,1,2,2,2,1,1,1,1
77,1,1,1,1,2,2,2,1,1,1,1,1
78,1,1,1,2,2,2,1,1,1,1,1,1
79,1,1,2,2,2,1,1,1,1,1,1,1
80,1,2,2,2,1,1,1,1,1,1,1,1
81,2,2,2,1,1,1,1,1,1,1,1,1
82,2,2,1,1,1,1,1,1,1,1,1,1
83,2,1,1,1,1,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1,1,1,1,1,0
85,1,1,1,1,1,1,1,1,1,1,0,0
86,1,1,1,1,1,1,1,1,1,0,0,0
87,1,1,1,1,1,1,1,1,0,0,0,0
88,1,1,1,1,1,1,1,0,0,0,0,0
89,1,1,1,1,1,1,0,0,0,0,0,0
90,1,1,1,1,1,0,0,0,0,0,0,0
91,1,1,1,1,0,0,0,0,0,0,0,0
92,1,1,1,0,0,0,0,0,0,0,0,0
93,1,1,0,0,0,0,0,0,0,0,0,0
94,1,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,1
109,0,0,0,0,0,0,0,0,0,0,1,1
110,0,0,0,0,0,0,0,0,0,1,1,1
111,0,0,0,0,0,0,0,0,1,1,1,1
112,0,0,0,0,0,0,0,1,1,1,1,1
113,0,0,0,0,0,0,1,1,1,1,1,1
114,0,0,0,0,0,1,1,1,1,1,1,1
115,0,0,0,0,1,1,1,1,1,1,1,1
116,0,0,0,1,1,1,1,1,1,1,1,1
117,0,0,1,1,1,1,1,1,1,1,1,1
118,0,1,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1,1,1,1,1
120,1,1,1,1,1,1,1,1,1,1,1,1
121,1,1,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1,1,1,1,2
123,1,1,1,1,1,1,1,1,1,1,2,1
124,1,1,1,1,1,1,1,1,1,2,1,1
125,1,1,1,1,1,1,1,1,2,1,1,1
126,1,1,1,1,1,1,1,2,1,1,1,1
127,1,1,1,1,1,1,2,1,1,1,1,1
128,1,1,1,1,1,2,1,1,1,1,1,1
129,1,1,1,1,2,1,1,1,1,1,1,1
130,1,1,1,2,1,1,1,1,1,1,1,1
131,1,1,2,1,1,1,1,1,1,1,1,2
132,1,2,1,1,1,1,1,1,1,1,2,2
133,2,1,1,1,1,1,1,1,1,2,2,3
